,Name,Brand,Model,Battery,Screen,Touchscreen,Resolution_x,Resolution_y,Processor_Cores,RAM,Storage,Rear_Camera,Front_Camera,OS,Wi_Fi,Bluetooth,GPS,SIMs,H_3G,LTE_4G,Price
976,LG K8 (2017),LG,K8 (2017),2500,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7450
977,Zuk Edge,Zuk,Edge,3100,5.50,Yes,1080,1920,4,4000,64.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,29124
978,Zen Cinemax Click,Zen,Cinemax Click,2700,5.50,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3899
979,Lava A76+,Lava,A76+,1850,4.50,Yes,480,800,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,No,No,5599
980,Swipe Elite Max,Swipe,Elite Max,3000,5.50,Yes,1080,1920,8,4000,32.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,12999
981,Panasonic P88,Panasonic,P88,2600,5.30,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,No,Yes,2,Yes,Yes,8000
982,Swipe Elite Star,Swipe,Elite Star,2000,4.00,Yes,480,800,4,1000,8.000,5.00,1.30,Android,Yes,Yes,Yes,2,Yes,Yes,3999
983,Gionee P7,Gionee,P7,2300,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,No,Yes,2,No,No,7499
984,Micromax Vdeo 2,Micromax,Vdeo 2,1800,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4950
985,Micromax Vdeo 1,Micromax,Vdeo 1,1600,4.00,Yes,480,800,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4499
986,Meizu M5 Note,Meizu,M5 Note,4000,5.50,Yes,1080,1920,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,No,Yes,5490
987,Lyf Water 9,Lyf,Water 9,2800,5.50,Yes,1080,1920,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5550
988,Lava X50+,Lava,X50+,2800,5.50,Yes,720,1280,4,2000,32.000,8.00,5.00,Android,Yes,Yes,No,2,No,Yes,4999
989,Meizu Pro 6 Plus,Meizu,Pro 6 Plus,3400,5.70,Yes,1440,2560,8,4000,64.000,12.00,5.00,Android,Yes,Yes,Yes,2,No,Yes,27600
990,Panasonic Eluga Mark 2,Panasonic,Eluga Mark 2,3000,5.50,Yes,720,1280,8,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,13990
